new entry "Divine_Unlock"
type "SpellData"
data "SpellType" "Shout"
data "Cooldown" "$"
data "SpellProperties" "ApplyStatus(DIVINE_UNLOCK,100,-1)"
data "AreaRadius" "1"
data "TargetConditions" "Self()"
data "Icon" "Divine_Passive_Perfection_Icon"
data "DisplayName" "h1fc883f6g8feag4916g89ffgdc98c117c339;1"
data "Description" "he570c34eg8693g4055ga311g709aac805239;1"
data "TooltipStatusApply" "ApplyStatus(DIVINE_UNLOCK,100,-1)"
data "CastSound" "Action_Cast_MagicAwareness"
data "UseCosts" "$"
data "SpellAnimation" "25d2e465-34e4-4bd8-a320-92ae706c580c,,;,,;da916b55-6679-41b1-bed0-27bd2c6a5f2c,,;7125ede4-469f-4caa-b037-b244c24eae12,,;a3632f21-d954-453b-b8dc-73ad50ddfdad,,;,,;,,;,,;,,"
data "VerbalIntent" "Buff"
data "SpellFlags" "IsSpell;HasVerbalComponent;HasSomaticComponent"
data "SpellAnimationIntentType" "None"
data "PrepareEffect" "4b021b1e-c140-4598-a9cd-a8528be22eb0"
data "CastEffect" "7d1dd92d-e68d-4c27-9a03-cff3324479c1"
